"id","Title","taxon","file","author","post_date","size","size_raw","type","NonSpecimen","Date","Time","Duration","deployment","lat","lon","time_of_day","license","info_url","device","rights_holder","country","locality","sample_rate","channels"
"8971","372:11 Conocephalus semivittatus vittatus(302b)","Conocephalus semivittatus vittatus","https://bio.acousti.ca/sites/default/files/372-11_Conocephalus_semivittatus_vittatus_302b_.wav","W. J. Reynolds; L. M. Pitkin","2013-08-22 13:45","40.61 MB","42583004","audio/x-wav","","1979-07-11","1600","241","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8971","Kudelski Nagra IV D (-17dB at 50Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8972","373:1 Cycloptiloides sp.(292)","Cycloptiloides sp.","https://bio.acousti.ca/sites/default/files/373-1_Cycloptiloides_sp._292_.wav","W. J. Reynolds","2013-08-22 13:45","45.17 MB","47362268","audio/x-wav","","1979-04-26","1100","268","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8972","Kudelski Nagra IV D (-17dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8973","373:2 Cycloptiloides sp.(292b)","Cycloptiloides sp.","https://bio.acousti.ca/sites/default/files/373-2_Cycloptiloides_sp._292b_.wav","W. J. Reynolds","2013-08-22 13:45","73.27 MB","76828124","audio/x-wav","","1979-04-26","1400","435","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8973","Kudelski Nagra IV D (-17dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8974","373:3 Cycloptiloides sp.(293)","Cycloptiloides sp.","https://bio.acousti.ca/sites/default/files/373-3_Cycloptiloides_sp._293_.wav","W. J. Reynolds","2013-08-22 13:45","90.46 MB","94858556","audio/x-wav","","1979-05-07","1100","537","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8974","Kudelski Nagra IV D (-17dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8975","373:4 Cycloptiloides sp.(293b)","Cycloptiloides sp.","https://bio.acousti.ca/sites/default/files/373-4_Cycloptiloides_sp._293b_.wav","W. J. Reynolds","2013-08-22 13:45","37.36 MB","39179660","audio/x-wav","","1979-05-07","1110","222","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8975","Kudelski Nagra IV D (-17dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8976","373:5 Chorthippus albomarginatus(306)","Chorthippus Chorthippus albomarginatus","https://bio.acousti.ca/sites/default/files/373-5_Chorthippus_albomarginatus_306_.wav","W. J. Reynolds","2013-08-22 13:45","78.47 MB","82280060","audio/x-wav","","1979-07-25","1115","466","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8976","Kudelski Nagra IV D (-17dB at 50Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8977","373:6 Omocestus viridulus(307r1)","Omocestus Omocestus viridulus","https://bio.acousti.ca/sites/default/files/373-6_Omocestus_viridulus_307r1_.wav","W. J. Reynolds","2013-08-22 13:45","62.87 MB","65926604","audio/x-wav","","1979-07-26","1215","373","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8977","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8978","373:7 Omocestus viridulus(307r2)","Omocestus Omocestus viridulus","https://bio.acousti.ca/sites/default/files/373-7_Omocestus_viridulus_307r2_.wav","W. J. Reynolds","2013-08-22 13:45","16.63 MB","17437772","audio/x-wav","","1979-07-26","1215","98","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8978","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8979","373:8 Omocestus viridulus(308)","Omocestus Omocestus viridulus","https://bio.acousti.ca/sites/default/files/373-8_Omocestus_viridulus_308_.wav","W. J. Reynolds","2013-08-22 13:45","80.83 MB","84756716","audio/x-wav","","1979-07-26","1030","480","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8979","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8980","373:9 Euchorthippus pulvinatus(309)","Euchorthippus pulvinatus","https://bio.acousti.ca/sites/default/files/373-9_Euchorthippus_pulvinatus_309_.wav","W. J. Reynolds","2013-08-22 13:45","66.56 MB","69795644","audio/x-wav","","1979-07-30","1330","395","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8980","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8981","373:10 Euchorthippus pulvinatus(309b)","Euchorthippus pulvinatus","https://bio.acousti.ca/sites/default/files/373-10_Euchorthippus_pulvinatus_309b_.wav","W. J. Reynolds","2013-08-22 13:45","22.02 MB","23094332","audio/x-wav","","1979-07-30","1330","130","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8981","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8982","373:11 Omocestus panteli(310)","Omocestus Omocestus panteli","https://bio.acousti.ca/sites/default/files/373-11_Omocestus_panteli_310_.wav","W. J. Reynolds","2013-08-22 13:45","78.1 MB","81896684","audio/x-wav","","1979-07-30","1400","464","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8982","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8983","374:1 Euchorthippus chopardi(311r1)","Euchorthippus chopardi","https://bio.acousti.ca/sites/default/files/374-1_Euchorthippus_chopardi_311r1_.wav","W. J. Reynolds","2013-08-22 13:45","56.56 MB","59310428","audio/x-wav","","1979-07-30","1615-1730","336","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8983","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8984","374:2 Euchorthippus chopardi(311r2)","Euchorthippus chopardi","https://bio.acousti.ca/sites/default/files/374-2_Euchorthippus_chopardi_311r2_.wav","W. J. Reynolds","2013-08-22 13:45","21.67 MB","22720364","audio/x-wav","","1979-07-31","1000 - 1100","128","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8984","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8985","374:3 Omocestus panteli(312)","Omocestus Omocestus panteli","https://bio.acousti.ca/sites/default/files/374-3_Omocestus_panteli_312_.wav","W. J. Reynolds","2013-08-22 13:45","78.3 MB","82108364","audio/x-wav","","1979-07-31","1100 - 1500","465","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8985","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8986","374:4 Euchorthippus pulvinatus(313r1)","Euchorthippus pulvinatus","https://bio.acousti.ca/sites/default/files/374-4_Euchorthippus_pulvinatus_313r1_.wav","W. J. Reynolds","2013-08-22 13:45","18.66 MB","19566332","audio/x-wav","","1979-07-31","1500","110","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8986","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8987","374:5 Euchorthippus pulvinatus(313r2)","Euchorthippus pulvinatus","https://bio.acousti.ca/sites/default/files/374-5_Euchorthippus_pulvinatus_313r2__0.wav","W. J. Reynolds","2013-08-22 13:45","21.12 MB","22141772","audio/x-wav","","1979-07-31","1530","125","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8987","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8988","374:6 Euchorthippus pulvinatus(313r3)","Euchorthippus pulvinatus","https://bio.acousti.ca/sites/default/files/374-6_Euchorthippus_pulvinatus_313r3_.wav","W. J. Reynolds","2013-08-22 13:45","22.52 MB","23616476","audio/x-wav","","1979-07-31","1530","133","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8988","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8989","374:7 Euchorthippus pulvinatus(313r4)","Euchorthippus pulvinatus","https://bio.acousti.ca/sites/default/files/374-7_Euchorthippus_pulvinatus_313r4_.wav","W. J. Reynolds","2013-08-22 13:45","19.39 MB","20333084","audio/x-wav","","1979-07-31","1600","115","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8989","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8990","374:8 Euchorthippus pulvinatus(314r1)","Euchorthippus pulvinatus","https://bio.acousti.ca/sites/default/files/374-8_Euchorthippus_pulvinatus_314r1_.wav","W. J. Reynolds","2013-08-22 13:45","35.01 MB","36714764","audio/x-wav","","1979-07-31","1730","208","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8990","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8991","374:9 Euchorthippus pulvinatus(314r2)","Euchorthippus pulvinatus","https://bio.acousti.ca/sites/default/files/374-9_Euchorthippus_pulvinatus_314r2_.wav","W. J. Reynolds","2013-08-22 13:45","25.03 MB","26246012","audio/x-wav","","1979-08-01","1130","148","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8991","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8992","374:10 Omocestus panteli(315)","Omocestus Omocestus panteli","https://bio.acousti.ca/sites/default/files/374-10_Omocestus_panteli_315_.wav","W. J. Reynolds","2013-08-22 13:45","81.02 MB","84954284","audio/x-wav","","1979-08-01","1330 - 1430","481","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8992","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8993","374:11 Euchorthippus pulvinatus(316r1)","Euchorthippus pulvinatus","https://bio.acousti.ca/sites/default/files/374-11_Euchorthippus_pulvinatus_316r1_.wav","W. J. Reynolds","2013-08-22 13:45","37.66 MB","39492476","audio/x-wav","","1979-08-02","1100","223","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8993","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8994","374:12 Euchorthippus pulvinatus(316r2)","Euchorthippus pulvinatus","https://bio.acousti.ca/sites/default/files/374-12_Euchorthippus_pulvinatus_316r2_.wav","W. J. Reynolds","2013-08-22 13:45","52.52 MB","55067420","audio/x-wav","","1979-08-02","1330","312","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8994","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8995","374:13 Euchorthippus pulvinatus(316r3)","Euchorthippus pulvinatus","https://bio.acousti.ca/sites/default/files/374-13_Euchorthippus_pulvinatus_316r3_.wav","W. J. Reynolds","2013-08-22 13:45","62.11 MB","65129276","audio/x-wav","","1979-07-02","1415","369","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8995","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8996","374:14 Euchorthippus pulvinatus(316r3b)","Euchorthippus pulvinatus","https://bio.acousti.ca/sites/default/files/374-14_Euchorthippus_pulvinatus_316r3b_.wav","W. J. Reynolds","2013-08-22 13:45","10 MB","10482908","audio/x-wav","","1979-07-02","1415","59","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8996","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8997","374:15 Conocephalus Redenbacher(317)","Conocephalus Conocephalus redtenbacheri","https://bio.acousti.ca/sites/default/files/374-15_Conocephalus_Redenbacher_317_.wav","","2013-08-22 13:45","79.13 MB","82969196","audio/x-wav","","1979-08-02","1200","470","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8997","Kudelski Nagra IV D (-17dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","","","44100","stereo"
"8998","374:16 Euchorthippus pulvinatus(318r1)","Euchorthippus pulvinatus","https://bio.acousti.ca/sites/default/files/374-16_Euchorthippus_pulvinatus_318r1_.wav","W. J. Reynolds","2013-08-22 13:45","14.95 MB","15676124","audio/x-wav","","1979-08-02","1700","88","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8998","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"8999","374:17 Omocestus panteli(318r2)","Omocestus Omocestus panteli","https://bio.acousti.ca/sites/default/files/374-17_Omocestus_panteli_318r2_.wav","W. J. Reynolds","2013-08-22 13:45","35.16 MB","36869996","audio/x-wav","","1979-08-03","","209","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/8999","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"9000","374:18 Omocestus panteli(318r2b)","Omocestus Omocestus panteli","https://bio.acousti.ca/sites/default/files/374-17_Omocestus_panteli_318r2b_.wav","","2013-08-22 13:45","31.03 MB","32532908","audio/x-wav","","","","184","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/9000","","Natural History Museum, London","","","44100","stereo"
"9001","375:1 Omocestus rufipes(319)","Omocestus Omocestus rufipes","https://bio.acousti.ca/sites/default/files/375-1_Omocestus_rufipes_319_.wav","W. J. Reynolds","2013-08-22 13:45","78.17 MB","81964892","audio/x-wav","","1979-08-06","1030","464","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/9001","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"9002","375:2 Omocestus rufipes(320)","Omocestus Omocestus rufipes","https://bio.acousti.ca/sites/default/files/375-2_Omocestus_rufipes_320_..wav","W. J. Reynolds","2013-08-22 13:45","78.88 MB","82708124","audio/x-wav","","1979-08-06","1130","468","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/9002","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"9003","375:3 Stenobothrus lineatus(321r1)","Stenobothrus lineatus","https://bio.acousti.ca/sites/default/files/375-3_Stenobothrus_lineatus_321r1_.wav","W. J. Reynolds","2013-08-22 13:45","44.78 MB","46950668","audio/x-wav","","1979-08-13","1400","266","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/9003","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"9004","375:4 Stenobothrus lineatus(321r2)","Stenobothrus lineatus","https://bio.acousti.ca/sites/default/files/375-4_Stenobothrus_lineatus_321r2_.wav","W. J. Reynolds","2013-08-22 13:45","39.16 MB","41065964","audio/x-wav","","1979-08-13","Uher Position Indicator(UPI): 185, Time (T): 1530, UPI: 230, T: 1645","232","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/9004","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"9005","375:5 Stenobothrus lineatus(322r1)","Stenobothrus lineatus","https://bio.acousti.ca/sites/default/files/375-5_Stenobothrus_lineatus_322r1_.wav","W. J. Reynolds","2013-08-22 13:45","27.94 MB","29296556","audio/x-wav","","1979-08-13","1700","166","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/9005","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"9006","375:6 Stenobothrus lineatus(322r2)","Stenobothrus lineatus","https://bio.acousti.ca/sites/default/files/375-6_Stenobothrus_lineatus_322r2_.wav","W. J. Reynolds","2013-08-22 13:45","51.07 MB","53552732","audio/x-wav","","1979-08-13","1730","303","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/9006","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"9007","375:7 Meconema thalassinum(323)","Meconema thalassinum","https://bio.acousti.ca/sites/default/files/375-7_Meconema_thalassinum_323_.wav","W. J. Reynolds","2013-08-22 13:45","9.51 MB","9967820","audio/x-wav","","1979-08-17","1315","56","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/9007","Kudelski Nagra IV D (-17dB at 50Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"9008","375:8 Meconema thalassinum(323b)","Meconema thalassinum","https://bio.acousti.ca/sites/default/files/375-8_Meconema_thalassinum_323b_.wav","W. J. Reynolds","2013-08-22 13:45","132.83 MB","139285484","audio/x-wav","","1979-08-17","1530","789","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/9008","Kudelski Nagra IV D (-17dB at 50Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"9009","375:9 Meconema thalassinum(324)","Meconema thalassinum","https://bio.acousti.ca/sites/default/files/375-9_Meconema_thalassinum_324_.wav","W. J. Reynolds","2013-08-22 13:45","76.27 MB","79975100","audio/x-wav","","1979-08-17","1630","453","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/9009","Kudelski Nagra IV D (-17dB at 50Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"9010","375:10 Meconema thalassinum(325)","Meconema thalassinum","https://bio.acousti.ca/sites/default/files/375-10_Meconema_thalassinum_325_.wav","W. J. Reynolds","2013-08-22 13:45","79.14 MB","82988012","audio/x-wav","","1979-08-20","1600","470","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/9010","Kudelski Nagra IV D (-17dB at 50Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"9011","390:1 Meconema thalassinum(326)","Meconema thalassinum","https://bio.acousti.ca/sites/default/files/390-1_Meconema_thalassinum_326_.wav","W. J. Reynolds","2013-08-22 13:45","80.27 MB","84164012","audio/x-wav","","1979-08-21","","477","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/9011","Kudelski Nagra IV D (-17dB at 50Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"9012","390:2 Meconema thalassinum(327)","Meconema thalassinum","https://bio.acousti.ca/sites/default/files/390-2_Meconema_thalassinum_327_.wav","W. J. Reynolds","2013-08-22 13:45","160.72 MB","168525548","audio/x-wav","","","cut 1 -1745, cut 2A - 1030, cut 2B - 1100, cut 2C - 245","955","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/9012","Kudelski Nagra IV D (-17dB at 50Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
"9013","390:3 Dociostaurus jagoi occidentalis (328)","Dociostaurus Kazakia  jagoi occidentalis","https://bio.acousti.ca/sites/default/files/390-3_Dociostaurus_jagoi_occidentalis__328_.wav","","2013-08-22 13:45","11.6 MB","12164588","audio/x-wav","","","","68","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/9013","","Natural History Museum, London","","","44100","stereo"
"9014","390:4 Dociostaurus jagoi occidentalis(328b)","Dociostaurus Kazakia  jagoi occidentalis","https://bio.acousti.ca/sites/default/files/390-4_Dociostaurus_jagoi_occidentalis_328b_.wav","","2013-08-22 13:45","73.25 MB","76806956","audio/x-wav","","","","435","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/9014","","Natural History Museum, London","","","44100","stereo"
"9015","390:5 Dociostaurus jagoi occidentalis(329r1)","Dociostaurus Kazakia  jagoi occidentalis","https://bio.acousti.ca/sites/default/files/390-5_Dociostaurus_jagoi_occidentalis__329r1_.wav","","2013-08-22 13:45","23.11 MB","24235052","audio/x-wav","","","","137","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/9015","","Natural History Museum, London","","","44100","stereo"
"9016","390:6 Dociostaurus jagoi occidentalis(329r2)","Dociostaurus Kazakia  jagoi occidentalis","https://bio.acousti.ca/sites/default/files/390-6_Dociostaurus_jagoi_occidentalis__329r2_.wav","","2013-08-22 13:45","54.86 MB","57529964","audio/x-wav","","","","326","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/9016","","Natural History Museum, London","","","44100","stereo"
"9017","Micronecta scholtzi(330r1)","Micronecta scholtzi","https://bio.acousti.ca/sites/default/files/01_330r1.wav","David R. Ragge","2013-08-22 13:45","71.97 MB","75468984","audio/x-wav","","1979-08-31","0500","393","","52.739212","1.49794","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/9017","Uher 4000; Plessey MS83 hydrophone","Natural History Museum, London","GB","Barton Broad","96000","mono"
"9020","390:8 Sigara sp.(331)","Sigara","https://bio.acousti.ca/sites/default/files/390-8_Sigara%20sp._331_.wav","","2013-08-22 13:45","51 MB","53475116","audio/x-wav","","1979-07-01","","303","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/9020","Cassette recorder","Natural History Museum, London","","","44100","stereo"
"9021","390:9 Locusta migratoria cinerascens(333)","Locusta migratoria cinerascens","https://bio.acousti.ca/sites/default/files/390-9_Locusta_migratoria_cinerascens_333_.wav","W. J. Reynolds","2013-08-22 13:45","79.49 MB","83350220","audio/x-wav","","1979-09-21","09451","472","","","","","https://creativecommons.org/licenses/by/4.0/","https://bio.acousti.ca/node/9021","Kudelski Nagra IV D (-17 dB at 50 Hz); Sennheiser MKH 405","Natural History Museum, London","GB","","44100","stereo"
