"traitID","taxonID","Taxonomic name","Trait","Ontology Link","Value","Call Type","Sex","Temperature","Reference","Cascade","Annotation ID"
"2016","1907","Acrometopa italica","Sound Propagation Medium","https://vocab.audioblast.org/SoundPropagationMedium","Air","","","","","",""
"2017","497","Tylopsis lilifolia","Sound Propagation Medium","https://vocab.audioblast.org/SoundPropagationMedium","Air","","","","","",""
"2018","227","Phaneroptera Phaneroptera nana","Sound Propagation Medium","https://vocab.audioblast.org/SoundPropagationMedium","Air","","","","","",""
"2019","414","Phaneroptera Phaneroptera falcata","Sound Propagation Medium","https://vocab.audioblast.org/SoundPropagationMedium","Air","","","","","",""
"2020","1908","Isophya rectipennis","Sound Propagation Medium","https://vocab.audioblast.org/SoundPropagationMedium","Air","","","","","",""
"2021","414","Phaneroptera Phaneroptera falcata","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","Sunrise-sunset","","","","","",""
"2022","414","Phaneroptera Phaneroptera falcata","Frequency (kHz)","https://vocab.audioblast.org/Frequency","17-28","","","","","",""
"2023","227","Phaneroptera Phaneroptera nana","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","Sunrise-sunset","","","","","",""
"2024","227","Phaneroptera Phaneroptera nana","Frequency (kHz)","https://vocab.audioblast.org/Frequency","14-22","","","","","",""
"2025","243","Leptophyes punctatissima","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","1800-2400","","","","","",""
"2026","243","Leptophyes punctatissima","Frequency (kHz)","https://vocab.audioblast.org/Frequency","30-50","","","","","",""
"2027","238","Leptophyes albovittata","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","1200-sunset","","","","","",""
"2028","238","Leptophyes albovittata","Frequency (kHz)","https://vocab.audioblast.org/Frequency","50","","","","","",""
"2029","719","Barbitistes serricauda","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","1800-2400","","","","","",""
"2030","719","Barbitistes serricauda","Frequency (kHz)","https://vocab.audioblast.org/Frequency","25-30","","","","","",""
"2031","1927","Barbitistes constrictus","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","1500-2400","","","","","",""
"2032","1927","Barbitistes constrictus","Frequency (kHz)","https://vocab.audioblast.org/Frequency","c.25","","","","","",""
"2033","920","Isophya kraussii","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","Sunrise-sunset","","","","","",""
"2034","920","Isophya kraussii","Frequency (kHz)","https://vocab.audioblast.org/Frequency","20-40","","","","","",""
"2035","444","Polysarcus denticauda","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-1800","","","","","",""
"2036","444","Polysarcus denticauda","Frequency (kHz)","https://vocab.audioblast.org/Frequency","10-25","","","","","",""
"2037","97","Meconema thalassinum","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","Sunrise-sunset","","","","","",""
"2038","1910","Meconema meridionale","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","Sunrise-sunset","","","","","",""
"2039","1202","Conocephalus Anisoptera fuscus","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-sunset","","","","","",""
"2040","1202","Conocephalus Anisoptera fuscus","Frequency (kHz)","https://vocab.audioblast.org/Frequency","c.30","","","","","",""
"2041","323","Conocephalus Anisoptera dorsalis","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-sunset","","","","","",""
"2042","323","Conocephalus Anisoptera dorsalis","Frequency (kHz)","https://vocab.audioblast.org/Frequency","c.35","","","","","",""
"2043","542","Ruspolia nitidula","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","Sunrise-sunset","","","","","",""
"2044","542","Ruspolia nitidula","Frequency (kHz)","https://vocab.audioblast.org/Frequency","14-18","","","","","",""
"2045","84","Tettigonia viridissima","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","1500-2400","","","","","",""
"2046","216","Tettigonia cantans","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","1200-2400","","","","","",""
"2047","340","Tettigonia caudata","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","1200-2400","","","","","",""
"2048","72","Decticus verrucivorus","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","1200-1800","","","","","",""
"2049","111","Gampsocleis glabra","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-sunset","","","","","",""
"2050","1915","Platycleis albopunctata albopunctata","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-2400","","","","","",""
"2051","1915","Platycleis albopunctata albopunctata","Frequency (kHz)","https://vocab.audioblast.org/Frequency","23-33","","","","","",""
"2052","301","Platycleis albopunctata grisea","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-2400","","","","","",""
"2053","301","Platycleis albopunctata grisea","Frequency (kHz)","https://vocab.audioblast.org/Frequency","23-33","","","","","",""
"2054","1244","Tessellana tessellata","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","1800-2400","","","","","",""
"2055","1244","Tessellana tessellata","Frequency (kHz)","https://vocab.audioblast.org/Frequency","30-40","","","","","",""
"2056","1235","Montana montana","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","1200-sunset","","","","","",""
"2057","1235","Montana montana","Frequency (kHz)","https://vocab.audioblast.org/Frequency","c.30","","","","","",""
"2058","319","Metrioptera brachyptera","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-sunset","","","","","",""
"2059","319","Metrioptera brachyptera","Frequency (kHz)","https://vocab.audioblast.org/Frequency","20-30","","","","","",""
"2060","1219","Bicolorana bicolor","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-sunset","","","","","",""
"2061","1219","Bicolorana bicolor","Frequency (kHz)","https://vocab.audioblast.org/Frequency","13-20","","","","","",""
"2062","1226","Roeseliana roeselii","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-sunset","","","","","",""
"2063","1226","Roeseliana roeselii","Frequency (kHz)","https://vocab.audioblast.org/Frequency","20-25","","","","","",""
"2064","470","Antaxius Chopardius pedestris","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","Sunrise-sunset","","","","","",""
"2065","470","Antaxius Chopardius pedestris","Frequency (kHz)","https://vocab.audioblast.org/Frequency","c.30","","","","","",""
"2066","217","Pholidoptera aptera","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-2400","","","","","",""
"2067","116","Pholidoptera griseoaptera","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","1500-2400","","","","","",""
"2068","116","Pholidoptera griseoaptera","Frequency (kHz)","https://vocab.audioblast.org/Frequency","c.25","","","","","",""
"2069","106","Anonconotus alpinus","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","1200-sunset","","","","","",""
"2070","106","Anonconotus alpinus","Frequency (kHz)","https://vocab.audioblast.org/Frequency","20-40","","","","","",""
"2071","211","Ephippiger ephippiger","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-1200","","","","","",""
"2072","211","Ephippiger ephippiger","Frequency (kHz)","https://vocab.audioblast.org/Frequency","15-25","","","","","",""
"2073","1934","Tachycines asynamorus","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","None","","","","","",""
"2074","1937","Troglophilus Paratroglophilus neglectus","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","None","","","","","",""
"2075","246","Gryllotalpa gryllotalpa","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","Sunrise-sunset","","","","","",""
"2076","1942","Myrmecophilus Myrmecophilus acervorum","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","None","","","","","",""
"2077","129","Oecanthus pellucens","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","Sunrise-sunset","","","","","",""
"2078","88","Nemobius sylvestris","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-2400","","","","","",""
"2079","1689","Pteronemobius Pteronemobius heydenii","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-2400","","","","","",""
"2080","309","Gryllus Gryllus campestris","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-2400","","","","","",""
"2081","92","Acheta domesticus","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","Sunrise-2400","","","","","",""
"2082","159","Eumodicogryllus bordigalensis","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","Sunrise-sunset","","","","","",""
"2083","1943","Modicogryllus Modicogryllus frontalis","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","Sunrise-sunset","","","","","",""
"2084","1943","Modicogryllus Modicogryllus frontalis","Frequency (kHz)","https://vocab.audioblast.org/Frequency","20","","","","","",""
"2085","1950","Tetrix","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","None","","","","","1",""
"2086","1959","Calliptamus italicus","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-1800","","","","","",""
"2088","1966","Melanoplus frigidus","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","None","","","","","",""
"2090","1970","Mecostethus parapleurus","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-1800","","","","","",""
"2091","360","Stethophyma grossum","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-1800","","","","","",""
"2092","1972","Psophus stridulus","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-1800","","","","","",""
"2093","1975","Oedipoda caerulescens","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-1800","","","","","",""
"2094","1976","Oedipoda germanica","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-1800","","","","","",""
"2095","1147","Bryodemella Bryodemella tuberculata","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","Sunrise-0900; 1800-sunset","","","","","",""
"2096","1979","Sphingonotus Sphingonotus caerulans","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-1800","","","","","",""
"2097","1982","Aiolopus thalassinus","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-1800","","","","","",""
"2098","136","Arcyptera Arcyptera fusca","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-1800","","","","","",""
"2099","441","Chrysochraon dispar","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-1800","","","","","",""
"2100","221","Euthystira brachyptera","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-1800","","","","","",""
"2101","100","Omocestus","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-1800","","","","","",""
"2102","93","Stenobothrus","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-1800","","","","","",""
"2103","99","Gomphocerus sibiricus","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-1800","","","","","",""
"2104","1985","Aeropedellus variegatus","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","1200-1800","","","","","",""
"2105","122","Myrmeleotettix maculatus","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-sunset","","","","","",""
"2106","222","Stauroderus scalaris","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-sunset","","","","","",""
"2107","138","Chorthippus Glyptobothrus apricarius","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-sunset","","","","","",""
"2108","290","Chorthippus Glyptobothrus pullus","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-1200; 1500-sunset","","","","","",""
"2109","59","Chorthippus","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-1800","","","","","",""
"2110","1124","Pseudochorthippus","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","0900-sunset","","","","","",""
"2111","2202","Anostostomatidae","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Abdomino-femoral Stridulation","Defensive Call","","","","",""
"2114","2205","Hemiandrus","Hearing Organ","https://vocab.audioblast.org/HearingOrgan","None","","","","","",""
"2115","2205","Hemiandrus","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Abdomino-femoral Stridulation","Defensive Call","","","","",""
"2117","2208","Motuweta isolata","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Mandibular Stridulation","Defensive Call","","","","",""
"2118","2208","Motuweta isolata","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Abdomino-femoral Stridulation","Defensive Call","","","","",""
"2121","2209","Deinacridinae","Hearing Organ","https://vocab.audioblast.org/HearingOrgan","Tympanal Organs on Front Tibiae","","","","","",""
"2122","2211","Hemideina","Hearing Frequency","https://vocab.audioblast.org/HearingFrequency","upto 5","Defensive Call","","","","",""
"2123","2212","Hemideina broughi","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Abdomino-femoral Stridulation","Defensive Call","","","","",""
"2124","2212","Hemideina broughi","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Plauro-coxal Stridulation","Defensive Call","","","","",""
"2125","2211","Hemideina","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Abdomino-femoral Stridulation","Defensive Call","","","","",""
"2126","2213","Deinacrida","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Abdomino-femoral Stridulation","Defensive Call","","","","",""
"2127","2214","Deinacrida rugosa","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Abdomino-femoral Stridulation","Defensive Call","","","","",""
"2128","2214","Deinacrida rugosa","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Tergo-tergal Stridulation","Defensive Call","","","","",""
"2129","2215","Deinacrida heteracantha","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Abdomino-femoral Stridulation","Defensive Call","","","","",""
"2130","2215","Deinacrida heteracantha","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Tergo-tergal Stridulation","Defensive Call","","","","",""
"2131","2216","Deinacrida fallai","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Abdomino-femoral Stridulation","Defensive Call","","","","",""
"2132","2216","Deinacrida fallai","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Tergo-tergal Stridulation","Defensive Call","","","","",""
"2133","2211","Hemideina","Frequency Spectrum Peak Energy (kHz)","http://vocab.acousti.ca/bioacoustica#FrequencySpectrumPeakEnergy","2-5","","","","","",""
"2134","2219","Hemideina crassidens","Peak Frequency (kHz)","https://vocab.audioblast.org/PeakFrequency","2.5","","","","","",""
"2135","2219","Hemideina crassidens","Hearing Peak Frequency","https://vocab.audioblast.org/HearingPeakfrequency","2.5","","","","","",""
"2136","2215","Deinacrida heteracantha","Peak Frequency (kHz)","https://vocab.audioblast.org/PeakFrequency","20; 50","","","","","",""
"2137","2221","Deinacrida connectens","Peak Frequency (kHz)","https://vocab.audioblast.org/PeakFrequency","7; 35","","","","","",""
"2138","2214","Deinacrida rugosa","Frequency Spectrum Peak Energy (kHz)","http://vocab.acousti.ca/bioacoustica#FrequencySpectrumPeakEnergy","10-20","","","","","",""
"2139","2219","Hemideina crassidens","Syllables per Echeme","https://vocab.audioblast.org/SyllablesPerEcheme","4-7","Agression Call Intraspecific","Male","20-22","","",""
"2140","2219","Hemideina crassidens","Syllable Interval","https://vocab.audioblast.org/SyllableInterval","0.082-0.121","Agression Call Intraspecific","Male","20-22","","",""
"2141","2219","Hemideina crassidens","Syllables per Echeme","https://vocab.audioblast.org/SyllablesPerEcheme","2-7","Mating Call","Male","","","",""
"2142","2219","Hemideina crassidens","Syllable Interval","https://vocab.audioblast.org/SyllableInterval","0.093-0.238","Mating Call","Male","","","",""
"2143","2226","Hemideina ricta","Syllable Interval","https://vocab.audioblast.org/SyllableInterval","0.1","Agression Call Intraspecific","Male","","","",""
"2144","2226","Hemideina ricta","Syllable Interval","https://vocab.audioblast.org/SyllableInterval","130","Mating Call","Male","","","",""
"2145","2219","Hemideina crassidens","Syllables per Echeme","https://vocab.audioblast.org/SyllablesPerEcheme","1-3","Calling Call","Male","","","",""
"2146","2219","Hemideina crassidens","Syllable Interval","https://vocab.audioblast.org/SyllableInterval","0.177-0.258","Calling Call","Male","11-14","","",""
"2147","2227","Anostostoma","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Abdomino-femoral Stridulation","","","","","",""
"2170","414","Phaneroptera Phaneroptera falcata","Time Of Day Of Call","https://vocab.audioblast.org/TimeOfDayOfCall","Evening; Night","Calling Call","Male","","","",""
"2171","414","Phaneroptera Phaneroptera falcata","Song Structure","https://vocab.audioblast.org/SongStructure","Isolated Syllables","Calling Call","Male","","","",""
"2172","414","Phaneroptera Phaneroptera falcata","Song Structure","https://vocab.audioblast.org/SongStructure","Echemes","Calling Call","Male","","","",""
"2173","414","Phaneroptera Phaneroptera falcata","Isolated Syllable Period","https://vocab.audioblast.org/SyllablePeriodIsolatedSyllable","1-4","Calling Call","Male","","","",""
"2174","414","Phaneroptera Phaneroptera falcata","Syllables per Echeme","https://vocab.audioblast.org/SyllablesPerEcheme","8-20","Calling Call","Male","","","",""
"2175","414","Phaneroptera Phaneroptera falcata","Echeme Period","https://vocab.audioblast.org/EchemePeriod","0.1-0.167","Calling Call","Male","","","",""
"2176","414","Phaneroptera Phaneroptera falcata","Syllable Duration (in Echeme)","https://vocab.audioblast.org/SyllableDurationInEcheme","0.05-0.1","Calling Call","Male","","","",""
"2177","414","Phaneroptera Phaneroptera falcata","Syllable Duration Isolated Syllable","https://vocab.audioblast.org/SyllableDurationIsolatedSyllable","<0.05","Calling Call","Male","","","",""
"2181","227","Phaneroptera Phaneroptera nana","Time Of Day Of Call","https://vocab.audioblast.org/TimeOfDayOfCall","Dusk; Night","Calling Call","Male","","","",""
"2182","227","Phaneroptera Phaneroptera nana","Song Structure","https://vocab.audioblast.org/SongStructure","Isolated Syllables","Calling Call","Male","","","",""
"2183","227","Phaneroptera Phaneroptera nana","Isolated Syllable Period","https://vocab.audioblast.org/SyllablePeriodIsolatedSyllable","1-3","Calling Call","Male","","","",""
"2184","227","Phaneroptera Phaneroptera nana","Syllable Duration Isolated Syllable","https://vocab.audioblast.org/SyllableDurationIsolatedSyllable","50-150","Calling Call","Male","","","",""
"2185","227","Phaneroptera Phaneroptera nana","Syllable Tooth Impacts (Number)","https://vocab.audioblast.org/StridulatoryFileImpactsPerSyllable","2-7","Calling Call","Male","","","",""
"2188","497","Tylopsis lilifolia","Syllables per Echeme","https://vocab.audioblast.org/SyllablesPerEcheme","2-5","Calling Call","Male","","","",""
"2189","497","Tylopsis lilifolia","Syllable Interval","https://vocab.audioblast.org/SyllableInterval","0.3-0.7","Calling Call","Male","","","",""
"2190","497","Tylopsis lilifolia","Echeme Interval","https://vocab.audioblast.org/EchemeInterval","10-70","Calling Call","Male","","","",""
"2191","497","Tylopsis lilifolia","Syllable Duration (in Echeme)","https://vocab.audioblast.org/SyllableDurationInEcheme","<0.01","Calling Call","Male","","","",""
"2192","497","Tylopsis lilifolia","Syllable Tooth Impacts (Number)","https://vocab.audioblast.org/StridulatoryFileImpactsPerSyllable","3-10","Calling Call","Male","","","",""
"2193","497","Tylopsis lilifolia","Syllable Duration (in Echeme)","https://vocab.audioblast.org/SyllableDurationInEcheme","0.1","Calling Call","Male","","","",""
"2194","497","Tylopsis lilifolia","Isolated Syllable Period","https://vocab.audioblast.org/SyllablePeriodIsolatedSyllable","1-2","Calling Call","Male","","","",""
"2195","497","Tylopsis lilifolia","Syllable Duration Isolated Syllable","https://vocab.audioblast.org/SyllableDurationIsolatedSyllable","0.05-0.07","Calling Call","Male","","","",""
"2199","2330","Acrometopa servillea","Sound Production Method","https://vocab.audioblast.org/SoundProductionMethod","Elytral Stridulation (Diplosyllable)","Calling Call","Male","","","",""
"2200","2330","Acrometopa servillea","Time Of Day Of Call","https://vocab.audioblast.org/TimeOfDayOfCall","Evening; Night","Calling Call","Male","","","",""
"2201","2330","Acrometopa servillea","Echeme Duration","https://vocab.audioblast.org/EchemeDuration","0.5-3","Calling Call","Male","","","",""
"2202","2330","Acrometopa servillea","Syllable Period","https://vocab.audioblast.org/SyllablePeriod","0.02-0.033","Calling Call","Male","","","",""
"2203","2330","Acrometopa servillea","Syllables per Echeme","https://vocab.audioblast.org/SyllablesPerEcheme","20-90","Calling Call","Male","","","",""
"2204","2330","Acrometopa servillea","Syllable Duration (in Echeme)","https://vocab.audioblast.org/SyllableDurationInEcheme","0.02-0.03","Calling Call","Male","","","",""
"2205","2330","Acrometopa servillea","Syllable Duration Final","https://vocab.audioblast.org/SyllableDurationFinal","0.015-0.05","Calling Call","Male","","","",""
"2245","919","Isophya pyrenaea","Time Of Day Of Highest Acoustic Activity","https://vocab.audioblast.org/TimeOfDayOfHighestAcousticActivity","Evening; Night","Calling Call","Male","","","",""
"2246","919","Isophya pyrenaea","Isolated Syllable Period","https://vocab.audioblast.org/SyllablePeriodIsolatedSyllable","0.67-1.11","Calling Call","Male","","","",""
"2247","919","Isophya pyrenaea","Syllable Duration Isolated Syllable","https://vocab.audioblast.org/SyllableDurationIsolatedSyllable","0.07-0.120","Calling Call","Male","","","",""
"2248","920","Isophya kraussii","Syllable Duration Isolated Syllable","https://vocab.audioblast.org/SyllableDurationIsolatedSyllable","0.250-0.330","Calling Call","Male","","","",""
"2249","920","Isophya kraussii","Isolated Syllable Period","https://vocab.audioblast.org/SyllablePeriodIsolatedSyllable","0.5","Calling Call","Male","","","",""
